"13246","Ukraine","Government of Ukraine","61","","DPR","5840","Government of Russia (Soviet Union)","1","Donetsk","2014","2","1","4","1"
"13247","Ukraine","Government of Ukraine","61","","LPR","5839","Government of Russia (Soviet Union)","1","Lugansk","2014","2","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","United Armed Forces of Novorossiya","5914","Government of Russia (Soviet Union)","1","Novorossiya","2014","2","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR, United Armed Forces of Novorossiya","5914, 6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2015","2","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2016","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2017","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2018","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2019","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2020","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR, LPR","6711, 6712","Government of Russia (Soviet Union)","1","Novorossiya","2021","1","1","4","1"
"13306","Ukraine","Government of Ukraine","61","","DPR","6711","Government of Russia (Soviet Union)","1","Novorossiya","2022","1","1","4","1"
"13324","Kyrgyzstan, Tajikistan","Government of Kyrgyzstan","132","","Government of Tajikistan","131","","1","Common Border","2021","1","0","2","3"
"13324","Kyrgyzstan, Tajikistan","Government of Kyrgyzstan","132","","Government of Tajikistan","131","","1","Common Border","2022","1","0","2","3"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2015","1","0","3","1"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2016","1","0","3","1"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2017","1","0","3","1"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2018","1","0","3","1"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2019","1","0","3","1"
"13588","Russia (Soviet Union)","Government of Russia (Soviet Union)","57","","IS","234","","1","Islamic State","2020","1","0","3","1"
